Fecha_Hora,Artista,Tema
10/4/2023 23:28,Bersuit Vergarabat,Perro Amor Explota
10/4/2023 23:28,Skay Beilinson,El Ojo Testigo
10/4/2023 23:28,La Renga,El Que Me Lleva
10/4/2023 23:28,Callejeros,El Nudo
10/4/2023 23:28,La Renga,El Mambo De La Botella
10/4/2023 23:28,Las Pastillas del Abuelo,La Creatividad
10/4/2023 23:24,Skay Beilinson,Ángeles Caidos
10/4/2023 23:24,La Vela Puerca,Para Siempre
10/4/2023 23:24,La Renga,Llegó la Hora
10/4/2023 23:24,Las Pelotas,Capitán América
10/4/2023 23:24,Los Gardelitos,Caras De Limon
10/4/2023 23:24,Divididos,Camaron Bombay - Version III
10/4/2023 23:24,El Bordo,Oda a la Sin Nombre
10/4/2023 23:23,Callejeros,Prohibido
10/4/2023 23:23,La Renga,San Miguel - En Vivo
10/4/2023 23:19,Divididos,Cosas de Baboon
10/4/2023 23:19,La Renga,El Ojo del Huracán
10/4/2023 23:19,Skay Beilinson,Síndrome del Trapecista
10/4/2023 23:19,Attaque 77,La Colina de la Vida
10/4/2023 23:19,Los Piojos,Como Alí
10/4/2023 23:19,Catupecu Machu,Entero O A Pedazos
10/4/2023 22:48,La Renga,El Ojo del Huracán
10/4/2023 22:34,Los Piojos,Pistolas
10/4/2023 22:34,La Renga,Para Que Yo Pueda Ver
10/4/2023 22:34,Attaque 77,Beatle
10/4/2023 22:34,Skay Beilinson,Ya Lo Sabes
10/4/2023 22:34,Cinco Tatuajes,Morfina
10/4/2023 22:34,Kapanga,Ramón
10/4/2023 22:31,Divididos,Ala Delta
10/4/2023 22:30,Los Piojos,El Balneario de los Doctores Crotos
10/4/2023 22:26,Divididos,Ala Delta
10/4/2023 22:25,Los Gardelitos,Anabel
10/4/2023 22:25,Skay Beilinson,El Golem de Paternal
10/4/2023 22:25,Los Piojos,El Balneario de los Doctores Crotos
10/4/2023 22:24,Kapanga,Miro de Atrás
10/4/2023 22:20,La Renga,Tripa y Corazón - En Vivo
10/4/2023 22:17,Callejeros,Un Lugar Perfecto
10/4/2023 22:17,Guasones,Down
10/4/2023 22:16,Guasones,Como un Lobo
10/4/2023 22:16,Ciro y los Persas,Caminando
10/4/2023 22:16,Los Caballeros De La Quema,Casi Nadie
10/4/2023 22:16,La Renga,Desoriente Blues
10/4/2023 22:16,Los Caballeros De La Quema,A A E O
10/4/2023 22:16,Skay Beilinson,El Redentor Secreto
10/4/2023 22:16,Skay Beilinson,Aves Migratorias
10/4/2023 22:16,Los Gardelitos,Corazon Bailando Al Viento
10/4/2023 22:15,Kapanga,Desearia
10/4/2023 22:15,Intoxicados,Un Gran Camping - En Vivo Luna Park
10/4/2023 22:15,Los Caballeros De La Quema,No Hay
10/4/2023 22:15,Divididos,¿Qué Tal?
10/4/2023 22:15,Don Osvaldo,Un demonio
10/4/2023 22:15,La Renga,El Rey De La Triste Felicidad - En Directo Desde Estadio De Huracán Buenos Aires / 2001
10/4/2023 22:15,Las Pastillas del Abuelo,Tantas Escaleras
10/4/2023 22:15,Turf,No Se Llama Amor
10/4/2023 22:15,Callejeros,9 de Julio
10/4/2023 22:15,La Renga,Flecha en la Clave
10/4/2023 22:15,Viejas Locas,Perra
10/4/2023 22:11,Las Pastillas del Abuelo,Ama a Quien Llora por Ti
10/4/2023 22:11,Los Piojos,Todo Pasa
10/4/2023 22:11,Catupecu Machu,Eso Vive
10/4/2023 22:11,La Renga,Algún Rayo
10/4/2023 22:11,Ciro y los Persas,Me Gusta
10/4/2023 22:10,Los Caballeros De La Quema,Pejerrey
10/4/2023 22:07,Las Pelotas,Hola Que Tal
10/4/2023 22:07,Skay Beilinson,Oda a la Sin Nombre
10/4/2023 22:07,La Renga,Me Hice Canción - En Directo Desde Estadio De Huracán Buenos Aires / 2001
10/4/2023 22:07,Las Pastillas del Abuelo,Rocanrol N´n´n´
10/4/2023 22:06,Los Piojos,Pacífico
10/4/2023 22:02,Los Caballeros De La Quema,El Culo del Asunto
10/4/2023 21:58,Los Piojos,Pacífico
10/4/2023 21:58,Intoxicados,Las Cosas Que No Se Tocan - En Vivo Luna Park
10/4/2023 21:58,Los Caballeros De La Quema,El Culo del Asunto
10/4/2023 21:58,Bersuit Vergarabat,La Argentinidad Al Palo
10/4/2023 21:58,La Renga,Nómades - En Vivo
10/4/2023 21:56,Las Pastillas del Abuelo,Skalipso
10/4/2023 21:56,Los Piojos,Muévelo
10/4/2023 21:55,Los Caballeros De La Quema,Sangrándonos
10/4/2023 21:52,Patricio Rey y sus Redonditos de Ricota,Ji Ji Ji
10/4/2023 21:46,Bersuit Vergarabat,Toco Y Me Voy
10/4/2023 21:46,La Renga,Bien Alto - En Vivo
10/4/2023 21:43,Los Caballeros De La Quema,Domingo Muerto
10/4/2023 21:43,Patricio Rey y sus Redonditos de Ricota,Todo un Palo
10/4/2023 21:43,Divididos,Amapola del 66
10/4/2023 21:43,Los Piojos,Ando Ganas (Llora Llora)
10/4/2023 21:25,La Renga,Detonador de Sueños
10/4/2023 21:25,Bersuit Vergarabat,El Tiempo No Para - Live In Buenos Aires / 2001
10/4/2023 21:25,Intoxicados,Espero Que la Vida - Remasterizado 2020
10/4/2023 21:23,Viejas Locas,Lo Artesanal
10/4/2023 21:23,Maldita Suerte,Corazonalmente
10/4/2023 21:23,Patricio Rey y sus Redonditos de Ricota,Juguetes Perdidos
10/4/2023 21:22,Los Caballeros De La Quema,Malvenido
10/4/2023 21:22,La Vela Puerca,Va A Escampar
10/4/2023 21:22,Intoxicados,Volver a Casa
10/4/2023 21:21,Patricio Rey y sus Redonditos de Ricota,Salando las Heridas
10/4/2023 21:16,Viejas Locas,Hermanos De Sangre
10/4/2023 21:16,Intoxicados,Espero Que la Vida - En Vivo Luna Park
10/4/2023 21:15,Divididos,Spaghetti del Rock
10/4/2023 21:15,La Vela Puerca,Sin Palabras
10/4/2023 21:15,La Renga,Motoralmaisangre - En Directo Desde Estadio De Huracán Buenos Aires / 2001
10/4/2023 21:15,Patricio Rey y sus Redonditos de Ricota,Caña Seca y un Membrillo
10/4/2023 21:15,Los Piojos,Civilización
10/4/2023 21:14,Los Caballeros De La Quema,Huelga de Princesas
10/4/2023 21:14,La Renga,Buena Pipa
10/4/2023 21:14,Viejas Locas,Adrenalina
10/4/2023 21:12,Patricio Rey y sus Redonditos de Ricota,Una Piba Con la Remera de Greenpeace
10/4/2023 21:12,Las Pastillas del Abuelo,Azu?car Impalpable
10/4/2023 21:12,Viejas Locas,Aunque A Nadie Ya Le Importe
10/4/2023 21:12,Pappo's Blues,Trabajando en el Ferrocarril
10/4/2023 21:10,La Renga,Elefantes Pogueando
10/4/2023 21:10,Divididos,Buscando un Ángel
10/4/2023 21:08,Turf,Pasos Al Costado
10/4/2023 21:08,Intoxicados,Noche Con Amigos
10/4/2023 21:04,Divididos,Pepe Lui
10/4/2023 21:04,Viejas Locas,Todo Sigue Igual
10/4/2023 21:04,Patricio Rey y sus Redonditos de Ricota,Un Poco de Amor Francés
10/4/2023 21:03,Viejas Locas,Me Gustas Mucho
10/4/2023 21:03,Patricio Rey y sus Redonditos de Ricota,Un Ángel para Tu Soledad
10/4/2023 21:03,Ciro y los Persas,Antes y Después
10/4/2023 21:03,Intoxicados,Las cosas que no se tocan
10/4/2023 21:03,La Vela Puerca,De Atar
10/4/2023 21:03,La Renga,Al Que He Sangrado - En Directo Desde Estadio De Huracán Buenos Aires / 2001
10/4/2023 21:03,Bersuit Vergarabat,La Soledad
